dimensao,item,valor,unidade,ano,fonte_url,lido_em,is_calculo,notas
renda,Populacao com rendimento per capita de mais de 1/4 ate 1/2 SM,37359033,pessoas,2022,"https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,FALSE,Censo 2022
renda,Populacao sem rendimento,5771024,pessoas,2022,"https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,FALSE,Censo 2022
renda,Populacao total em domicilios particulares,202044547,pessoas,2022,"https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,FALSE,Censo 2022
renda,Parcela da populacao com renda per capita ate 1/4 SM,10.43,%,2022,"https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,FALSE,"Censo 2022, variavel 1013604"
renda,Parcela da populacao com renda per capita ate 1/2 SM,28.92,%,2022,"https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,TRUE,"CALCULO 10,43+18,49"
tam,Nascimentos estimados em domicilios com renda per capita ate 1/2 SM,685677,nascimentos,2024,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0 ; https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,TRUE,"CALCULO 2.370.945 x 28,92%. PREMISSA (provavelmente falsa): nascimentos se distribuem como a populacao"
tam,Nascimentos estimados em domicilios com renda per capita ate 1/4 SM,247289,nascimentos,2024,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0 ; https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,TRUE,"CALCULO 2.370.945 x 10,43%. Mesma premissa"
tam,"TETO do mercado de kits, corte 1/2 SM",246238000,BRL/ano,2024,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0 ; https://pncp.gov.br/app/editais/46316600000164/2025/447",2026-09-21,TRUE,"CALCULO 685.677 x R$359,05. Supoe cobertura 100% e 100% em especie - ambas falsas"
tam,"TETO do mercado de kits, corte 1/4 SM",88789000,BRL/ano,2024,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0 ; https://pncp.gov.br/app/editais/46316600000164/2025/447",2026-09-21,TRUE,"CALCULO 247.289 x R$359,05. Mesmas premissas"
tam,PISO medido: contratos de kit assinados em 12 meses no PNCP,13778293.38,BRL,2025-09 a 2026-09,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,"CALCULO soma de valorGlobal; Contracts C, 202 contratos, 126 orgaos, 120 fornecedores; subestima fortemente (atas de SRP sem contrato nao aparecem)"
tam,"Compras centralizadas estaduais confirmadas, kits por ano",143760,kits,2024-2026,https://pncp.gov.br/app/editais/87958658000199/2025/976 ; https://pncp.gov.br/app/editais/18715516000188/2024/133 ; https://www.parana.pr.gov.br/aen/Noticia/Nascer-Bem-Parana-ja-entregou-28-mil-kits-com-carrinhos-de-bebe-em-156-municipios ; https://www.saude.ma.gov.br/noticias/governo-lanca-programa-maranhao-acolhe-e-entrega-enxovais-para-maes-atendidas-na-macma/,2026-09-21,TRUE,CALCULO RS 80.000 + MG 38.760 + PR 16.000 + MA 9.000; mistura bases (por pregao vs por ano-programa)
preco,Itaquaquecetuba/SP - quantidade,5000,kits,2025,https://pncp.gov.br/app/editais/46316600000164/2025/447,2026-09-21,FALSE,"PE 90088/2025, SRP, Programa Mae Itaqua"
preco,Itaquaquecetuba/SP - preco estimado por kit,476.05,BRL/kit,2025,https://pncp.gov.br/app/editais/46316600000164/2025/447,2026-09-21,FALSE,valorUnitarioEstimado
preco,Itaquaquecetuba/SP - preco homologado por kit,359.05,BRL/kit,2026,https://pncp.gov.br/app/editais/46316600000164/2025/447,2026-09-21,FALSE,"resultado 2026-03-24, CONDAFE EPP"
preco,Itaquaquecetuba/SP - clearing ratio,75.42,%,2026,https://pncp.gov.br/app/editais/46316600000164/2025/447,2026-09-21,TRUE,"CALCULO 359,05/476,05"
preco,RS Mae Gaucha - quantidade,80000,kits,2025,https://pncp.gov.br/app/editais/87958658000199/2025/976,2026-09-21,FALSE,lote unico
preco,RS Mae Gaucha - preco estimado por kit,778.42,BRL/kit,2025,https://pncp.gov.br/app/editais/87958658000199/2025/976,2026-09-21,FALSE,
preco,RS Mae Gaucha - preco homologado por kit,602.28,BRL/kit,2025,https://pncp.gov.br/app/editais/87958658000199/2025/976,2026-09-21,FALSE,"vencedor RS Comercio e Prest. de Servicos de Apoio SA, porte Demais"
preco,RS Mae Gaucha - valor total homologado,48182400.0,BRL,2025,https://pncp.gov.br/app/editais/87958658000199/2025/976,2026-09-21,FALSE,
preco,RS Mae Gaucha - clearing ratio,77.37,%,2025,https://pncp.gov.br/app/editais/87958658000199/2025/976,2026-09-21,TRUE,"CALCULO 602,28/778,42"
preco,MG SES Filhos de Minas - quantidade,38760,kits,2024,https://pncp.gov.br/app/editais/18715516000188/2024/133,2026-09-21,FALSE,COMPRA ESTADUAL - KIT ENXOVAL BEBE
preco,MG SES Filhos de Minas - preco estimado por kit,435.0,BRL/kit,2024,https://pncp.gov.br/app/editais/18715516000188/2024/133,2026-09-21,FALSE,
preco,MG SES Filhos de Minas - preco homologado por kit,322.49,BRL/kit,2024,https://pncp.gov.br/app/editais/18715516000188/2024/133,2026-09-21,FALSE,"vencedor Brink Mobil, porte Demais"
preco,MG SES Filhos de Minas - valor total homologado,12499712.4,BRL,2024,https://pncp.gov.br/app/editais/18715516000188/2024/133,2026-09-21,FALSE,"confere com os R$12,5 mi noticiados para o programa"
preco,MG SES Filhos de Minas - clearing ratio,74.14,%,2024,https://pncp.gov.br/app/editais/18715516000188/2024/133,2026-09-21,TRUE,"CALCULO 322,49/435,00"
preco,PR Nascer Bem - valor por kit implicito,625.0,BRL/kit,2026,https://www.parana.pr.gov.br/aen/Noticia/Nascer-Bem-Parana-ja-entregou-28-mil-kits-com-carrinhos-de-bebe-em-156-municipios,2026-09-21,TRUE,CALCULO R$10.000.000/16.000 kits; kit inclui carrinho de bebe
governanca,LOAS art.22 - limite de renda de 1/4 SM,0,existe (0=nao),2011,https://www.planalto.gov.br/ccivil_03/leis/l8742.htm,2026-09-21,FALSE,O corte de 1/4 SM estava no texto de 1993 e foi REVOGADO pela Lei 12.435/2011; hoje o corte vem da lei/resolucao municipal
governanca,Beneficio natalidade pode ser pago em pecunia,1,permitido (1=sim),2025,https://www.jari.rs.gov.br/arqs/33030.pdf,2026-09-21,FALSE,Res. CNAS 213/2025 art.2 par.1: PREFERENCIALMENTE em pecunia
governanca,Beneficio natalidade pode ser entregue em bens (kit),1,permitido (1=sim),2025,https://www.jari.rs.gov.br/arqs/33030.pdf,2026-09-21,FALSE,"Res. CNAS 213/2025 art.2 par.1: ""podendo ocorrer tambem em forma de bens"""
governanca,Prazo para municipios adequarem normativas a Res. CNAS 213/2025,2026-10-28,data,2026,https://www.jari.rs.gov.br/arqs/33030.pdf,2026-09-21,FALSE,art.35: 1 ano da publicacao (28/10/2025)
governanca,"Res. CNAS 212/2006 (origem do termo ""enxoval"") revogada",1,revogada (1=sim),2022,https://www.legisweb.com.br/legislacao/?id=103281,2026-09-21,FALSE,revogada pela Resolucao CNAS 81 de 11/10/2022
governanca,Uso de recursos federais (FNAS) para custear beneficios eventuais,0,permitido (0=nao),2025,https://fnas.mds.gov.br/wp-content/uploads/2025/08/Fundos-de-Assistencia-Social.pdf,2026-09-21,FALSE,"FNAS/MDS, Fundos de Assistencia Social, secao 5: ""sendo vedado o uso dos recursos federais"""
governanca,Uso de recursos do Tesouro Municipal para beneficios eventuais,1,permitido (1=sim),2025,https://fnas.mds.gov.br/wp-content/uploads/2025/08/Fundos-de-Assistencia-Social.pdf,2026-09-21,FALSE,idem; LOAS art.15 I
governanca,Uso de cofinanciamento estadual para beneficios eventuais,1,permitido (1=sim),2025,https://fnas.mds.gov.br/wp-content/uploads/2025/08/Fundos-de-Assistencia-Social.pdf,2026-09-21,FALSE,idem; LOAS art.13 I; Decreto 6.307 art.6
governanca,Percentual minimo do FMAS obrigatorio para beneficios eventuais,UNVERIFIED,%,2026,https://fnas.mds.gov.br/wp-content/uploads/2025/08/Fundos-de-Assistencia-Social.pdf,2026-09-21,FALSE,"Nenhuma regra nacional encontrada em LOAS, Decreto 6.307 ou Res. CNAS 213/2025; 27 resolucoes de CEAS nao verificadas"
governanca,Percentual minimo de IGD-PBF/IGD-SUAS para apoio ao conselho municipal,10,%,2026,https://www.amupe.org/2025/cnm-traz-alerta-sobre-conselho-municipal/,2026-09-21,FALSE,"sobe de 3% para 10% a partir de janeiro/2026 - e sobre controle social, NAO sobre beneficios"
governanca,Municipios sem instrumento de regulacao de beneficios eventuais (Censo SUAS 2009-2013),25,%,2009-2013,https://www.cfess.org.br/arquivos/NotaTecnicaBeneficiosEventuais2020.pdf,2026-09-21,FALSE,"CITACAO DE SEGUNDA MAO: CFESS 2020 citando Gomes 2015 p.05. Dado defasado, sobre regulacao em geral, NAO sobre kits"
governanca,Vitoria/ES paga o beneficio natalidade em pecunia,1,sim (1=sim),2017,https://cartadeservicos.vitoria.es.gov.br/areas/1-Assistencia-Social/servicos/894-Auxilio-Natalidade/,2026-09-21,FALSE,Resolucao COMASV 016/2017; renda per capita <= 1/4 SM; requerido no CRAS ate 90 dias; pago ate 60 dias. VALOR EM R$ NAO PUBLICADO
eleicao,Lei 9.504/1997 art.73 par.10 proibe distribuicao gratuita de bens em ano eleitoral,1,sim (1=sim),1997,https://www.planalto.gov.br/ccivil_03/leis/l9504.htm,2026-09-21,FALSE,"Incluido pela Lei 11.300/2006; aplica-se a toda a Administracao Publica, em qualquer ano eleitoral"
eleicao,Excecao exige lei ESPECIFICA (lei generica tipo LOAS nao basta),1,sim (1=sim),2023,https://temasselecionados.tse.jus.br/temas-selecionados/condutas-vedadas-a-agentes-publicos/distribuicao-gratuita-de-bens-valores-ou-beneficios,2026-09-21,FALSE,"Ac. 18.5.2023 AREspE 060106560 rel. Min. Raul Araujo, aplicando REspEl 372-75/ES"
eleicao,Excecao exige execucao orcamentaria EFETIVA no exercicio anterior,1,sim (1=sim),2026,https://temasselecionados.tse.jus.br/temas-selecionados/condutas-vedadas-a-agentes-publicos/distribuicao-gratuita-de-bens-valores-ou-beneficios,2026-09-21,FALSE,"Ac. 14/5/2026 AgR-REspEl 060064110: ""nao apenas previsao, mas efetiva implementacao"""
eleicao,Ilicito e de natureza objetiva (nao exige finalidade eleitoral),1,sim (1=sim),2025,https://temasselecionados.tse.jus.br/temas-selecionados/condutas-vedadas-a-agentes-publicos/distribuicao-gratuita-de-bens-valores-ou-beneficios,2026-09-21,FALSE,RO-El 060165574 (2025)
eleicao,Sancao ao candidato beneficiado por descumprimento do par.10,cassacao do registro ou do diploma,sancao,2009,https://www.planalto.gov.br/ccivil_03/leis/l9504.htm,2026-09-21,FALSE,"art.73 par.5, redacao da Lei 12.034/2009; multa do par.4 de 5.000 a 100.000 UFIR"
eleicao,"Editais de kit por mes, media out-dez/2025 (nao eleitoral)",38.7,editais/mes,2025-10 a 2025-12,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,"CALCULO (43+35+38)/3, Window W"
eleicao,"Editais de kit por mes, media jan-ago/2026 (ano eleitoral)",37.9,editais/mes,2026-01 a 2026-08,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,"CALCULO 303/8, Window W"
eleicao,Variacao entre os dois periodos,-2.1,%,2025-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,"CALCULO 37,9/38,7-1. O ano eleitoral NAO interrompeu as compras municipais"
sazonalidade,Mes de menor volume de editais na janela (janeiro/2026),20,editais,2026-01,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,Window W
sazonalidade,Mes de maior volume de editais na janela (marco/2026),57,editais,2026-03,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,Window W; pico coerente com o ciclo orcamentario (LOA aprovada em dezembro)
eleicao,Portal do governo do PR retira conteudo institucional por vedacao eleitoral,1,observado (1=sim),2026,https://www.parana.pr.gov.br/aen/Noticia/Com-carrinhos-e-acessorios-Estado-inicia-distribuicao-inedita-de-10-mil-kits-para-maes,2026-09-21,FALSE,Banner citando a Lei 9.504/1997; observado em 2026-09-21. Impede a verificacao de programas estaduais no periodo
estado,RS Mae Gaucha - compra centralizada pelo estado,1,sim (1=sim),2025,https://pncp.gov.br/app/editais/87958658000199/2025/976,2026-09-21,FALSE,Subsecretaria da Administracao Central de Licitacoes; objeto nomeia o programa
estado,MG Filhos de Minas - compra centralizada pelo estado,1,sim (1=sim),2024,https://pncp.gov.br/app/editais/18715516000188/2024/133,2026-09-21,FALSE,"Secretaria de Estado da Saude; ""COMPRA ESTADUAL"""
estado,PR Nascer Bem - kits previstos,16000,kits,2026,https://www.parana.pr.gov.br/aen/Noticia/Nascer-Bem-Parana-ja-entregou-28-mil-kits-com-carrinhos-de-bebe-em-156-municipios,2026-09-21,FALSE,programa lancado em setembro/2025; Sedef
estado,PR Nascer Bem - investimento,10000000,BRL,2026,https://www.parana.pr.gov.br/aen/Noticia/Nascer-Bem-Parana-ja-entregou-28-mil-kits-com-carrinhos-de-bebe-em-156-municipios,2026-09-21,FALSE,"""cerca de R$10 milhoes"""
estado,PR Nascer Bem - municipios atendidos,222,municipios,2026,https://www.parana.pr.gov.br/aen/Noticia/Nascer-Bem-Parana-ja-entregou-28-mil-kits-com-carrinhos-de-bebe-em-156-municipios,2026-09-21,FALSE,2.810 kits entregues em 156 municipios ate inicio de 2026
estado,MA Maranhao Acolhe - kits previstos,9000,kits,2026,https://www.saude.ma.gov.br/noticias/governo-lanca-programa-maranhao-acolhe-e-entrega-enxovais-para-maes-atendidas-na-macma/,2026-09-21,FALSE,lancado 20/12/2025; Secretaria de Estado da Saude; distribuido por maternidades
estado,MA Maranhao Acolhe - itens por kit,45,itens,2026,https://www.saude.ma.gov.br/noticias/governo-lanca-programa-maranhao-acolhe-e-entrega-enxovais-para-maes-atendidas-na-macma/,2026-09-21,FALSE,"bolsa personalizada, roupinhas, cueiros, fraldas de tecido, meias, sabonetes, pomadas"
estado,RR Colo de Mae - banheiras adquiridas,2365,unidades,2025,https://pncp.gov.br/app/editais/53212344000120/2025/233,2026-09-21,FALSE,Secretaria de Estado do Trabalho e Bem-Estar Social; vencedor ME
estado,BA - kits no pregao 1047/2024 (por item),120,kits,2024,https://pncp.gov.br/app/editais/13937032000160/2024/1047,2026-09-21,FALSE,"17 itens separados, todos vencidos por uma ME"
estado,ES - itens do kit enxoval RN 465/2024,20,itens,2024,https://pncp.gov.br/app/editais/27080530000143/2024/465,2026-09-21,FALSE,"lotes por item, 500-1.000 unidades cada, divididos entre 4 MEs"
estado,GO OVG Enxovais de Bebe - kits produzidos internamente,1,sim (1=sim),2026,https://www.ovg.org.br/site/?programas=enxovais-de-bebe,2026-09-21,FALSE,produzidos por costureiras e voluntarias - NAO e mercado de compras publicas
estado,RJ - pregao estadual de kits maternidade,1,existe (1=sim),2023,https://pncp.gov.br/app/editais/42498600000171/2023/1584,2026-09-21,FALSE,"PE 1584/2023, ""kits de enxoval para recem-nascido (Kits Maternidade)"""
estado,BA - pregao estadual de kit enxoval natalidade,1,existe (1=sim),2024,https://pncp.gov.br/app/editais/13937032000160/2024/934,2026-09-21,FALSE,RP para produtos do kit enxoval natalidade
fornecedor,CONDAFE - CNPJ,10.430.444/0001-10,CNPJ,2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=CONDAFE&pagina=1&tam_pagina=50,2026-09-21,FALSE,CONDAFE COMERCIO DE ROUPAS LTDA (EPP); todos os 47 contratos resolvem para este CNPJ
fornecedor,CONDAFE - contratos publicados no PNCP,47,contratos,2025-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=CONDAFE&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO contagem; busca por nome do fornecedor em tipos_documento=contrato
fornecedor,CONDAFE - valor total contratado,5742116.59,BRL,2025-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=CONDAFE&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO soma de valorGlobal; NAO inclui a ata de Itaquaquecetuba (R$1.795.250)
fornecedor,CONDAFE - contrato mediano,40500.0,BRL,2025-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=CONDAFE&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO mediana
fornecedor,CONDAFE - UFs em que opera,16,UFs,2025-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=CONDAFE&pagina=1&tam_pagina=50,2026-09-21,TRUE,"CALCULO SP 10, RJ 7, PR 6, MG 5, AL 4, RS 2, PE 2, ES 2, MS 2, GO/TO/PB/BA/PI/RN/MA 1"
fornecedor,Contratos de kit com fornecedor resolvido (Contracts C),463,contratos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,de 536 contratos puxados; 100% dos fornecedores resolvidos
fornecedor,Orgaos compradores distintos (Contracts C),233,orgaos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,Fornecedores distintos por CNPJ (Contracts C),242,empresas,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,Grupos fornecedores distintos por raiz de CNPJ (Contracts C),239,grupos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO agregando filiais
fornecedor,Valor total dos contratos de kit (Contracts C),28417598.82,BRL,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO soma de valorGlobal
fornecedor,Contrato mediano de kit,17091.97,BRL,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,"CALCULO mediana; media R$61.377,10"
fornecedor,Maior contrato individual de kit,2016000.0,BRL,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO max
fornecedor,CR1 - participacao do maior grupo nos contratos,8.9,%,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO por raiz de CNPJ
fornecedor,CR3 - participacao dos 3 maiores nos contratos,18.1,%,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,CR5 - participacao dos 5 maiores nos contratos,22.9,%,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,CR10 - participacao dos 10 maiores nos contratos,29.8,%,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,CR10 - participacao dos 10 maiores no valor,43.1,%,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,HHI por numero de contratos,181,indice,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO; abaixo de 1.500 = mercado desconcentrado
fornecedor,HHI por valor,278,indice,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,Grupos fornecedores com exatamente 1 contrato,174,grupos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,"CALCULO 174/239 = 72,8%"
fornecedor,Grupos fornecedores com 3 ou mais contratos,32,grupos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO
fornecedor,Grupos fornecedores atuando em 3 ou mais UFs,10,grupos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,"CALCULO 10/239 = 4,2%"
fornecedor,Relacoes comprador-fornecedor que se repetem,56,pares,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO 56 de 400 pares; 86% das relacoes sao unicas
fornecedor,Brink Mobil - contratos de kit (raiz 79.788.766),41,contratos,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=contrato&q=kit+natalidade&pagina=1&tam_pagina=50,2026-09-21,TRUE,CALCULO; maior vencedor recorrente; tambem venceu a compra estadual de MG
