municipio,uf,orgao,cnpj,modalidade,publicado,objeto,emails,telefones,fonte,paginas,pncp,arquivos_note
Bom Princípio do Piauí,PI,MUNICIPIO DE BOM PRINCIPIO DO PIAUI,41522194000172,Dispensa,2026-08-31,"[Portal de Compras Públicas] - AQUISIÇÃO DE MATERIAIS DE ENXOVAL, DE INTERESSE DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, OBJETIVANDO ATENDER ÀS NECESSIDADES DO MUNICÍPIO DE BO",,,Ata_Parcial_112717_100926.zip,plain text,https://pncp.gov.br/api/consulta/v1/orgaos/41522194000172/compras/2026/30,200 on attempt 1
Ilha das Flores,SE,MUNICIPIO DE ILHA DAS FLORES,13111224000112,Dispensa,2026-08-27,"[LICITANET] - Aquisição de 100 (cem) KITS AUXÍLIO ENXOVAL, DESTINADOS À CONCESSÃO DO BENEFÍCIO EVENTUAL – AUXÍLIO NATALIDADE",,,199488_editais_1787847486.zip,plain text,https://pncp.gov.br/api/consulta/v1/orgaos/13111224000112/compras/2026/26,200 on attempt 1
Belo Horizonte,MG,CONSORCIO REGIONAL DE PROMOCAO DA CIDADANIA - MULHERES DAS GERAIS,10393006000120,Dispensa,2026-08-26,O objeto da presente dispensa eletrônica é a escolha da proposta mais vantajosa para a itens de enxoval destinados auxiliar o processo de manutenção das atividades desenvolvidas pe,,(41) 3097-4600 · (31) 3484-2387,DISPENSA_ELETRONICA_N_007.2026_E_ANEXOS,94p,https://pncp.gov.br/api/consulta/v1/orgaos/10393006000120/compras/2026/7,200 on attempt 1
Jeremoabo,BA,MUNICIPIO DE JEREMOABO,13809041000175,Dispensa,2026-08-26,"[LICITANET] - CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE MATERIAL DE CONSUMO, PRODUTOS DE HIGIENE E PEÇAS DE VESTUÁRIO PARA RECÉM-NASCIDOS, NA FORMA DE KIT ENXOVAL DESTINADOS A ",,,199289_editais_1787765376.zip,plain text,https://pncp.gov.br/api/consulta/v1/orgaos/13809041000175/compras/2026/104,200 on attempt 1
Auriflama,SP,MUNICIPIO DE AURIFLAMA,45660594000103,Dispensa,2026-08-21,"Aquisição de itens de enxoval para complementação dos Kits de Maternidade, devidamente acondicionados, destinadas às gestantes e família em situação de vulnerabilidade, acompanhada",,,DISPENSA_42_-_CONTRATO_96_-_M._EDUARDA_FERREIRA_LE.pdf,15p,https://pncp.gov.br/api/consulta/v1/orgaos/45660594000103/compras/2026/77,200 on attempt 1
Várzea,RN,MUNICIPIO DE VARZEA,08168940000104,Dispensa,2026-08-19,"Contratação de empresa especializada para o fornecimento de itens destinados à composição do Kit Natalidade, a ser concedido às gestantes acompanhadas pelo Grupo ""Bem Gestar"", vinc",,,TERMO+AUTORIZATIVO+KIT+NATALIDADE,3p,https://pncp.gov.br/api/consulta/v1/orgaos/08168940000104/compras/2026/81,200 on attempt 1
São Bento do Una,PE,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE SAO BENTO DO UNA,12609678000155,Dispensa,2026-08-13,"[Portal de Compras Públicas] - Contratação de empresa para aquisição de Kits natalidades - enxovais para eventual fornecimento a recém-nascido (neonato), que serão distribuídas às ",acaosocial@saobentodouna.pe.gov.br,(81) 3735-1488,TERMODEREFERENCIA.pdf,30p,https://pncp.gov.br/api/consulta/v1/orgaos/12609678000155/compras/2026/3,200 on attempt 1
Juazeirinho,PB,MUNICIPIO DE JUAZEIRINHO,08996886000187,Dispensa,2026-08-12,[LICITANET] - CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE KIT MATERNIDADE QUE SERÃO DISTRIBUÍDOS COM AS GESTANTES ACOMPANHADAS PELO CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS D,,,197546_editais_1786563988.zip,plain text,https://pncp.gov.br/api/consulta/v1/orgaos/08996886000187/compras/2026/87,200 on attempt 1
Uiraúna,PB,MUNICIPIO DE UIRAUNA,08924078000104,Dispensa,2026-08-11,"Contratação de empresa para o fornecimento parcelado de kits de enxoval básico destinados a recém-nascidos, visando atender às necessidades do Programa Mãe Uiraunense, sob a respon",cpl@uirauna.pb.gov.br,,Termo de Referencia,74p,https://pncp.gov.br/api/consulta/v1/orgaos/08924078000104/compras/2026/86,200 on attempt 1
Feira de Santana,BA,FUNDACAO HOSPITALAR DE FEIRA DE SANTANA,40637159000136,Dispensa,2026-08-10,AQUISIÇÃO DE KITS ENXOVAL PARA BEBÊS OS KITS DEVERÃO ATENDER ÀS NECESSIDADES DO HOSPITAL INÁCIA PINTO DOS SANTOS,,(14) 1331-2021,AUTORIZACAOCONTRATACAODIRETA Cod227858,1p,https://pncp.gov.br/api/consulta/v1/orgaos/40637159000136/compras/2026/130,200 on attempt 1
Torrinha,SP,MUNICIPIO DE TORRINHA,46364220000103,Dispensa,2026-08-10,"Aquisição de kit de higiene para bebe, com a finalidade de entrega para as gestantes da rede municipal de saúde.",licitacao@torrinha.sp.gov.br,(14) 3656-9600,DFD,5p,https://pncp.gov.br/api/consulta/v1/orgaos/46364220000103/compras/2026/70,200 on attempt 1
Picuí,PB,MUNICIPIO DE PICUI,08741399000173,Dispensa,2026-08-10,"AQUISIÇÃO DE KITs DE ENXOVAL DE BEBÊ DE FORMA PARCELADA, DESTINADA À CONCESSÃO DE BENEFÍCIOS EVENTUAIS, no valor de 44.100,00 (Quarenta e quatro mil e cem reais)",,(83) 3371-2380,CONTRATO,5p,https://pncp.gov.br/api/consulta/v1/orgaos/08741399000173/compras/2026/97,200 on attempt 1
Rio Largo,AL,MUNICIPIO DE RIO LARGO,12200168000120,Dispensa,2026-08-07,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE
ARTIGOS DE ENXOVAL E CARRINHO DE BEBÊ, PARA ATENDER ÀS
NECESSIDADES DA SECRETARIA MUNICIPAL DA MULHER E DA PESSOA COM
DEFICI",,,,,https://pncp.gov.br/api/consulta/v1/orgaos/12200168000120/compras/2026/165,200 on attempt 1
Juquitiba,SP,MUNICIPIO DE JUQUITIBA,46523155000103,Dispensa,2026-08-07,A aquisição de Kit enxoval maternidade destinado a Secretaria Municipal de Assistência Social (CRAS). Visando reduzir as vulnerabilidades decorrentes do nascimento de um novo membr,compras.2@juquitiba.sp.gov.br · administracao@juquitiba.sp.gov.br,(11) 4681-4311 · (41) 3097-4600,EDITAL_kit_enxoval_maternidade,33p,https://pncp.gov.br/api/consulta/v1/orgaos/46523155000103/compras/2026/224,200 on attempt 1
Itapiúna,CE,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,14514683000100,Dispensa,2026-07-21,AQUISIÇÃO DE KIT NATALIDADE PARA ATENDER AS NECESSIDADES DA SECRETARIA DO TRABALHO E ASSISTÊNCIA SOCIAL DO MUNICIPIO DE ITAPIÚNA-CE.,,,TERMO DE REVOGACAO,3p,https://pncp.gov.br/api/consulta/v1/orgaos/14514683000100/compras/2026/6,200 on attempt 1
Magalhães Barata,PA,MUNICIPIO DE MAGALHAES BARATA,05171947000189,Dispensa,2026-07-15,[LICITANET] - AQUISIÇÃO DE DIVERSOS MATERIAIS DE HIGIENE E ENXOVAL (KIT) EM ATENDIMENTO ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DO MUNICÍPIO DE MAGALHÃES BARATA/PA,,,193794_editais_1784138212.zip,plain text,https://pncp.gov.br/api/consulta/v1/orgaos/05171947000189/compras/2026/39,200 on attempt 1
Mato Queimado,RS,MUNICIPIO DE MATO QUEIMADO,04204318000145,Dispensa,2026-07-10,Aquisição de combo loção hidratante corporal 400ml + refil 350ml para compor kit gestante,,,25351_3_25344_DFD.pdf,1p,https://pncp.gov.br/api/consulta/v1/orgaos/04204318000145/compras/2026/528,200 on attempt 1
Milhã,CE,MUNICIPIO DE MILHA,06741565000106,Dispensa,2026-07-10,"Contratação de empresa para aquisição de materiais para compor kit auxílio natalidade (kit bebê) destinados aos usuários do grupo de gestantes do CRAS, para atender as necessidades",,,Minuta de contrato,6p,https://pncp.gov.br/api/consulta/v1/orgaos/06741565000106/compras/2026/30,200 on attempt 1
São Miguel das Missões,RS,MUNICIPIO DE SAO MIGUEL DAS MISSOES,89971758000180,Dispensa,2026-07-06,Aquisição de enxoval para uso da EMEI Paraíso da Criança - Educação. ,,,33402_2_32412_DFD.pdf,2p,https://pncp.gov.br/api/consulta/v1/orgaos/89971758000180/compras/2026/790,200 on attempt 1
Groaíras,CE,MUNICIPIO DE GROAIRAS,07598709000180,Dispensa,2026-07-01,"AQUISIÇÃO DE ITENS DIVERSOS DESTINADOS À COMPOSIÇÃO DE KITS NATALIDADE, COM O OBJETIVO DE SUPRIR AS NECESSIDADES DE ENXOVAL BÁSICO PARA RECÉM-NASCIDOS, VISANDO ATENDER GESTANTES E ",licitacao@groairas.ce.gov.br,,TERMO DE HOMOLOGACAO E RATIFICACAO 432,4p,https://pncp.gov.br/api/consulta/v1/orgaos/07598709000180/compras/2026/93,200 on attempt 1
