municipio,uf,cnpj_orgao,orgao_nome,populacao,setor,contato_tipo,contato_valor,fonte_url,verificado_em,is_inference,notas
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Secretaria Municipal de Assistencia Social,pessoa,UNVERIFIED,https://alvoradademinas.mg.gov.br/secretaria/2025/04/012/secretaria-municipal-de-assistencia-social/,2026-09-19,false,A pagina da secretaria nao nomeia o(a) secretario(a).
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Prefeitura,site,https://www.alvoradademinas.mg.gov.br/licitacoes/pregao-eletronico,https://www.alvoradademinas.mg.gov.br/licitacoes/pregao-eletronico,2026-09-19,false,Lista publica de editais de pregao eletronico com PDFs. O PE 0034/2026 dos enxovais ainda nao constava em 2026-09-19 (o item mais recente era de agosto/2026).
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Prefeitura,site,https://www.alvoradademinas.mg.gov.br/contato,https://www.alvoradademinas.mg.gov.br/contato,2026-09-19,false,Pagina de contato institucional.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Setor de Licitacoes,email,licitacoesmaracas@gmail.com,https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,"Clausula 13.8 e quadro EQUIPE DE PREGAO do edital PE 56/2025, publicado no dominio oficial do municipio. E o e-mail institucional do setor, embora seja um endereco gmail."
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Setor de Licitacoes,telefone,(73) 3533-2121,https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,"Clausula 13.8 do edital: telefone da Sala de Licitacao, em dias uteis."
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Setor de Licitacoes,endereco,"Praca Ruy Barbosa, n 705, Bairro Centro, Maracas/BA, CEP 45.360-000 - Setor de Licitacoes / Sala de Licitacao",https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,Endereco publicado no quadro EQUIPE DE PREGAO do edital.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Equipe de Pregao,pessoa,Iram Souza Sao Paulo de Castro - Pregoeiro,https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,Nomeado no edital PE 56/2025 em capacidade oficial. NAO confirmado como agente de contratacao da Dispensa 26/2026 (processo 317/2026) - o aviso dessa dispensa nao pode ser lido.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Equipe de Pregao,telefone,(73) 99823-6264,https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,"Publicado no edital como telefone da EQUIPE DE PREGAO RESPONSAVEL, nao como numero pessoal."
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Gabinete / Prefeitura,email,prefeitura@maracas.ba.gov.br,https://www.maracas.ba.gov.br/,2026-09-19,false,Rodape do site oficial.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Gabinete / Prefeitura,telefone,(73) 99945-5253,https://www.maracas.ba.gov.br/,2026-09-19,false,Rodape do site oficial.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Gabinete / Prefeitura,endereco,"Praca Rui Barbosa, 705 - Centro, Maracas/BA, CEP 45360-000",https://www.maracas.ba.gov.br/,2026-09-19,false,"Rodape do site oficial. Atendimento seg 08:00-17:30, ter-sex 08:00-18:00."
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Gabinete / Prefeitura,whatsapp,+55 73 99151-7240,https://www.maracas.ba.gov.br/,2026-09-19,false,Link api.whatsapp.com publicado no site oficial. NAO utilizado.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Ouvidoria,email,ouvidoria@maracas.ba.gov.br,https://www.maracas.ba.gov.br/,2026-09-19,false,Site oficial.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Ouvidoria,telefone,+55 73 99978-5783,https://www.maracas.ba.gov.br/,2026-09-19,false,Site oficial.
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Secretaria Municipal de Desenvolvimento Social,email,UNVERIFIED,https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,"A secretaria e nomeada como UNIDADE SOLICITANTE nos editais e no objeto da compra 2026/131, mas nenhuma pagina oficial legivel publica e-mail ou telefone proprios. O portal de estrutura organizacional e so-JavaScript."
Maracas,BA,13910203000167,"MUNICIPIO DE MARACAS - PREFEITURA DE MARACAS (prefeitura, nao e fundo)",27620,Secretaria Municipal de Desenvolvimento Social,telefone,UNVERIFIED,https://www.maracas.ba.gov.br/Handler.ashx?f=f&query=a33fdb20-8c3f-45cd-962a-18875293f1c0.pdf&name=PE56-2025.pdf,2026-09-19,false,Idem. Caminho mais curto na pratica: o telefone geral (73) 3533-2121 e pedir o setor.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEMAS - Secretaria Municipal de Assistencia Social,endereco,"Avenida Maruipe, 2.544, Itarare, Vitoria/ES, CEP 29.047-495",https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,Pagina oficial da SEMAS. Atendimento das 8 as 18 horas.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEMAS - Secretaria Municipal de Assistencia Social,telefone,(27) 3382-6172,https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,Telefone publicado para o gabinete da secretaria e para a subsecretaria.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEMAS - Secretaria Municipal de Assistencia Social,pessoa,Carla Mognato Scardua Shalders - Secretaria Municipal de Assistencia Social,https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,Pagina Quem somos da SEMAS.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEMAS - Secretaria Municipal de Assistencia Social,pessoa,Graziella Almeida Lorentz - Subsecretaria de Protecao Social Basica e Seguranca Alimentar e Nutricional,https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,Protecao Social Basica e quem opera os CRAS - provavelmente a interlocutora mais util para um kit bebe.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEMAS - Secretaria Municipal de Assistencia Social,email,UNVERIFIED,https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,Os e-mails na pagina estao ofuscados contra scraping (aparecem como cmognatoeira$4h064+pref.vitoria.es.gov.br). Nao foi registrado um palpite.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEGES / Equipe de Pregao,endereco,"Av. Marechal Mascarenhas de Moraes, 1927, Bento Ferreira, Vitoria/ES",https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,Registro da comissao no portal de compras oficial. ATENCAO: a base desse portal termina em 2023; o pregao 172/2026 nao consta nela.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEGES / Equipe de Pregao,telefone,(27) 3382-6074,https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,Telefone da Equipe de Pregao da SEGES no portal de compras.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEGES / Equipe de Pregao,telefone,(27) 3382-6037,https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,Idem.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEGES / Equipe de Pregao,email,rspuppim@vitoria.es.gov.br,https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,E-mail publicado como contato da comissao Equipe de Pregao da SEGES. E um endereco funcional nominal e o registro e anterior a 2023 - tratar como incerto; preferir o telefone institucional.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEGES/CPL - Comissao Permanente de Licitacao,endereco,"Av. Mal. Mascarenhas de Moraes, 1927 - 2 piso, Bloco B, Bento Ferreira, Vitoria/ES",https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,Registro da comissao no portal de compras oficial.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEGES/CPL - Comissao Permanente de Licitacao,telefone,(27) 3382-6253,https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,CPL. Pregoes: 3382-6037 / 6074 / 6249 e 3324-8706.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,Prefeitura (sede),endereco,"Avenida Marechal Mascarenhas de Moraes, 1.927, Bento Ferreira, Vitoria/ES, CEP 29.050-945",https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,Rodape do portal oficial.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,Prefeitura (sede),telefone,(27) 3382-6000,https://www.vitoria.es.gov.br/semas/quem-somos,2026-09-19,false,"Protocolo Geral, atendimento 08-17h."
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,Agente de contratacao / pregoeiro do PE 172/2026,pessoa,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/27142058000126/compras/2026/590,2026-09-19,false,O edital do pregao 172/2026 nao pode ser lido: a API de arquivos do PNCP esta 503 e o portal de compras nao indexa 2026.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,Portal de compras,site,https://portaldecompras.vitoria.es.gov.br/,https://portaldecompras.vitoria.es.gov.br/,2026-09-19,false,Busca publica de editais (API search.json). Base termina em 2023; a partir de 2023 remete a transparencia.vitoria.es.gov.br.
Vitoria,ES,27142058000126,"MUNICIPIO DE VITORIA - PREFEITURA MUNICIPAL DE VITORIA (prefeitura, nao e fundo)",322869,SEMAS - programa,site,https://www.vitoria.es.gov.br/semas/beneficio-por-natalidade,https://www.vitoria.es.gov.br/semas/beneficio-por-natalidade,2026-09-19,false,Pagina oficial do Beneficio por Natalidade.
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Gabinete / Prefeitura,email,gabinete@juncodomaranhao.ma.gov.br,https://transparencia.juncodomaranhao.ma.gov.br/,2026-09-19,false,Portal da Transparencia oficial do municipio. Unico e-mail publicado e legivel do municipio.
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Gabinete / Prefeitura,telefone,(98) 32711-017,https://transparencia.juncodomaranhao.ma.gov.br/,2026-09-19,false,Publicado literalmente assim no portal; o agrupamento correto e provavelmente (98) 3271-1017. NAO corrigido aqui.
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Gabinete / Prefeitura,endereco,"Rua Walmir Araujo, Centro, Junco do Maranhao/MA, CEP 65.294-000",https://transparencia.juncodomaranhao.ma.gov.br/,2026-09-19,false,Portal da Transparencia oficial. Atendimento seg-sex 08:00-14:00.
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Setor de Licitacoes,email,UNVERIFIED,https://www.juncodomaranhao.ma.gov.br/,2026-09-19,false,"Nenhuma pagina oficial legivel publica contato do setor. O site institucional esta com dados de template (contato@prefeitura.gov.br, (00) 0000-0000, Rua Principal, 123) - NAO sao contatos reais."
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Setor de Licitacoes,telefone,UNVERIFIED,https://www.juncodomaranhao.ma.gov.br/,2026-09-19,false,Idem.
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Secretaria Municipal de Assistencia Social,email,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/01612334000189/compras/2026/28,2026-09-19,false,"A secretaria e nomeada no objeto da compra e o FMAS e a unidade compradora, mas nenhum contato proprio foi publicado em pagina legivel."
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Secretaria Municipal de Assistencia Social,telefone,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/01612334000189/compras/2026/28,2026-09-19,false,Idem.
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Agente de contratacao,pessoa,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/01612334000189/compras/2026/28,2026-09-19,false,Dispensa por Ato que autoriza a Contratacao Direta; o documento nao pode ser lido (PNCP arquivos 503).
Junco do Maranhao,MA,01612334000189,MUNICIPIO DE JUNCO DO MARANHAO - unidade compradora: FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),5146,Prefeitura,site,https://www.juncodomaranhao.ma.gov.br/,https://www.juncodomaranhao.ma.gov.br/,2026-09-19,false,Site institucional; conteudo de contato ainda em placeholder. linkProcessoEletronico do registro PNCP aponta para ele.
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Prefeitura (sede),endereco,"Rua Horacy Santos, n 222, Centro, Rio Branco do Sul/PR, CEP 83.540-001",https://riobrancodosul.atende.net/diariooficial/,2026-09-19,false,Rodape da pagina do Diario Oficial do municipio. Atendimento seg-sex 08:00-17:00.
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Ouvidoria,email,ouvidoria@riobrancodosul.pr.gov.br,https://riobrancodosul.atende.net/diariooficial/,2026-09-19,false,Unico e-mail institucional publicado e legivel. Rodape do Diario Oficial oficial.
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Ouvidoria / Prefeitura,telefone,(41) 98743-2024,https://riobrancodosul.atende.net/diariooficial/,2026-09-19,false,Rodape do Diario Oficial oficial.
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Departamento de Compras e Licitacoes,email,UNVERIFIED,https://riobrancodosul.atende.net/,2026-09-19,false,"O portal do municipio (atende.net, IPM Sistemas) renderiza so por JavaScript: /telefones/, /licitacao/, /cidadao/pagina/licitacoes e /subportal/cras devolvem apenas o titulo. Nada pode ser lido."
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Departamento de Compras e Licitacoes,telefone,UNVERIFIED,https://riobrancodosul.atende.net/,2026-09-19,false,Idem.
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Secretaria Municipal de Assistencia Social,email,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/76105576000185/compras/2026/163,2026-09-19,false,"O FMAS e a unidade compradora da PDE 31/2026, mas nenhum contato proprio pode ser lido."
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Secretaria Municipal de Assistencia Social,telefone,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/76105576000185/compras/2026/163,2026-09-19,false,Idem.
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Agente de contratacao,pessoa,UNVERIFIED,https://pncp.gov.br/api/consulta/v1/orgaos/76105576000185/compras/2026/163,2026-09-19,false,Aviso de Contratacao Direta nao legivel (PNCP arquivos 503; diario oficial so-JavaScript).
Rio Branco do Sul,PR,76105576000185,MUNICIPIO DE RIO BRANCO DO SUL - unidade compradora: FUNDO DE ASSISTENCIA SOCIAL (FMAS),37558,Prefeitura,site,https://riobrancodosul.atende.net/,https://riobrancodosul.atende.net/,2026-09-19,false,Portal oficial (redireciona de riobrancodosul.pr.gov.br). So-JavaScript.
