service,provider,provider_cnpj,provider_uf,published_price,price_basis,moq,setup_fee,ships_outbound,carriers_named,turnaround_days,payment_terms,url,verified_at,is_inference,notes
kit_assembly_carrier,Paulista Express (PAULISTA EXPRESS TRANSPORTES LTDA),74289034000184,SP,,,,,YES,own fleet (baús/sider/carretas) + 100 registered vehicles; tracked; Porto Seguro cargo insurance,,,https://www.paulistaexpress.com.br/montagem-kits-promocionais,2026-09-19,FALSE,"Carrier since 1994 that also lists kit assembly; published coverage is São Paulo capital zones and interior SP only - no North/Northeast statement. Kit page is generic SEO text. Price/MOQ/terms: UNVERIFIED. CNPJ via directory then API."
kit_assembly,Contacto Logística,,SP,,,0,,,,,,https://contactologistica.com.br/conteudo/montagem_de_kits,2026-09-19,FALSE,"CNPJ not printed (contact page has address only) - UNVERIFIED. 'Poucas unidades ou grandes quantidades'; fulfillment, armazenagem, pick & pack, kits for influencers; Vila Mariana address. No carrier statement. Price: UNVERIFIED."
industrial_copacking,Tempos (TEMPOS DE BRASIL TERCEIRIZACAO DE MONTAGEM DE PRODUTOS E SERVICOS LTDA),01211578000150,SP,,,,,,,,,https://www.tempos.com.br/co-packer,2026-09-19,FALSE,"Industrial co-packer (2.000 m2, ISO 9001:2015, injeção/solda/tampografia) in Santana de Parnaíba. No shipping, MOQ or price statement. Better suited to recurring industrial runs than one-off tender lots. CNPJ via directory then API."
kit_assembly_labour,Grupo SRM (SRM - TERCEIRIZACAO DE SERVICOS E RECURSOS HUMANOS LTDA),02798885000141,SP,,'por peça montada ou produzida' (rate not published),,,NO,,,,https://www.gruposrm.com.br/montagem-e-manuserio-de-kits-promocionais,2026-09-19,FALSE,"Temp-labour agency (CNAE 7820-5/00) supplying assembly crews with supervision; not a warehouse, no freight. Useful only if she rents space herself. Price: UNVERIFIED."
gift_kits_incl_goods,Nascra Brindes (NASCRA SOLUCOES EM PERSONALIZACAO LTDA),27332194000189,SP,50.00-200.00,per kit INCLUDING promotional goods; 100-500 units,100,,,,,,https://www.nascra.com.br/site/kits-promocionais-preco,2026-09-19,FALSE,"NOT an assembly price - it is the price of a branded gift kit with the merchandise. CNPJ situação cadastral = SUSPENSA at publica.cnpj.ws on 2026-09-19. Excluded from consideration."
fulfillment_3pl,Javai Logística (JAVAI FULFILLMENT LTDA),16758935000171,SP,,,,,YES,unnamed ('entregas flex'),,,https://dimi-javailogistica.com.br/fulfillment-para-pequenas-empresas-sao-paulo,2026-09-19,FALSE,"Guarulhos e-commerce fulfilment for small sellers; receiving, conferência, storage, picking listed; no kit or carrier detail; pages are SEO-generated. Price: UNVERIFIED. CNPJ via directory then API."
industrial_copacking,LJ Indústria,,SP,,,,,,,,,https://www.lj.com.br/,2026-09-19,FALSE,"CNPJ not printed - UNVERIFIED. Barueri (Castelo Branco km 30,5). Industrial co-packer since 1996: montagem de kits, injeção, solda ultrassom. No shipping/MOQ/price."
enterprise_copacking,FM Logistic Brasil,,,,,,,,,,,https://www.fmlogistic.com.br/solucoes/co-packing/,2026-09-19,FALSE,"Multinational 3PL; page is generic co-packing/co-manufacturing marketing aimed at brands; nothing for a 100-kit lot. CNPJ not resolved."
envase_copacking,Saberpack,,SP,,,,,,,,,https://www.saberpack.com.br/envase-co-packer,2026-09-19,FALSE,"Food/chemical filling and tray sealing (Butantã + Piracicaba) - wrong category for dry-goods kitting. CNPJ not printed."
kit_assembly_fulfillment,Cartlog,,PR,,,,,,,,,https://www.cartlog.com.br/fulfillment-preco,2026-09-19,FALSE,"NON-SP: published address Londrina-PR; 'São Paulo - SP' listed without address. 'Fulfillment preço' page contains no price. CNPJ not printed - UNVERIFIED."
benchmark_ecommerce_fulfillment,Wistor (blog),,,4.50-19.50,per e-commerce order (avg R$13.00); 300 orders/month; 2 items/order; excludes packaging/transport/setup,,,,,,,https://wistor.com.br/blog/qual-e-o-custo-do-fulfillment/,2026-09-19,TRUE,"Market benchmark for 2-item B2C picks, NOT a 17-20 item kit with a bathtub. Using it as a floor for kit assembly is an inference."
benchmark_ecommerce_fulfillment,Stokki (blog),,,4.00-18.00,per e-commerce order (avg R$11.00); 400 orders/month; 2 items/order; 2023 prices; excludes packaging/transport,,,,,,,https://www.stokki.com.br/blog/quanto-custa-terceirizar-o-fulfillment-para-seu-e-commerce,2026-09-19,TRUE,"Same caveat as Wistor. Footer CNPJ 35.149.864/0001-54 not resolved."
benchmark_ecommerce_fulfillment,Já Enviou (blog),,,4.00-10.00,pick & pack per order for 1-3 SKUs; storage R$80-200 per position/month; 'taxas adicionais para serviços como kits',,,,,,,https://jaenviou.com.br/blog/fulfillment-para-ecommerce,2026-09-19,TRUE,"Confirms kits are surcharged beyond standard pick&pack. Benchmark only."
marketplace_fulfillment,Magalu Fulfillment (Magalu Entregas),,,0.05-3.90,manuseio 'por produto vendido' (<=30 kg) by volume band; storage R$0.003-1.90/day by band; pickup R$36+/m3,,,YES,Magalu own network (marketplace orders only),,,https://www.magaluentregas.com.br/servicos/fulfillment,2026-09-19,FALSE,"Fees are tied to sales on the Magalu marketplace; no B2B or off-platform delivery. Not usable for tender delivery."
marketplace_fulfillment,Amazon FBA (Amazon.com.br),,,37.50-75.00,storage per m3/month (R$75 <10.000 cm3; R$37.50 >=10.000 cm3); logistics fee per unit by weight/price band; pickup R$0.93-43.23 per box,,,YES,Amazon own network (Amazon orders only),,,https://venda.amazon.com.br/cresca/fba,2026-09-19,FALSE,"Eligibility: active CNPJ on SEFAZ, Simples or Regime Normal, IE in SP/MG/PR/RJ/SC/RS/CE/DF/PE/BA/GO/ES; box max 105 cm side / 200 cm sum. Amazon MCF FAQ (https://supplychain.amazon.com/mcf/faqs) lists MCF countries: Australia, Canada, France, Germany, Italy, Japan, Mexico, Spain, India, UK - Brazil absent, so off-Amazon orders cannot be fulfilled."
marketplace_fulfillment,Mercado Livre Full (MERCADO LIVRE BRASIL LTDA),03007331000141,SP,,,,,YES,Mercado Envios (platform orders only),,,https://www.nuvemshop.com.br/blog/mercado-envios-full/,2026-09-19,FALSE,"ML's own /full landing returned 404 and /negocios 405; seller-side explainer read: Full 'cuida de todas as etapas logísticas … em pedidos realizados dentro da plataforma'. CNPJ from ML help-page footer. Not usable for tender delivery."
marketplace_fulfillment,Shopee Full,,,0,no adhesion or monthly fee; R$5/unit declared-not-sent; R$3/unit quantity divergence; idle-stock fee from 2026-03,,,YES,Shopee own network (Shopee orders only),,,https://blog.ecommercepuro.com.br/full-shopee/,2026-09-19,FALSE,"Blog reading of Shopee rules (Shopee seller-edu page returned only 13 KB shell). Eligibility: CNPJ, rating >=4.5, >=5 orders/day, price >=R$20. Not usable for tender delivery."
freight_aggregator,Melhor Envio,,,,,0,0,YES,Correios + partner carriers (Jadlog etc.) per package,,pay per shipment,https://melhorenvio.com.br/,2026-09-19,FALSE,"'livre de contratos'; 'Não precisa [CNPJ]! O cadastro … é feito usando seu CPF'; 'fretes até 80% mais baratos que os preços do balcão'. Per-package only; weight/dimension limits page blocked (403). A contract-free fallback for small lots, not a consolidated-pallet solution."
freight_platform,Loggi (LOGGI TECNOLOGIA LTDA / L4B LOGISTICA LTDA),18277493000177,SP,,tabela de frete by CEP + GRIS/ad valorem + RC-V + taxes,0,0,YES,Loggi own network by CEP coverage,,"pré-pago: cartão/PIX/carteira; pós-pago: faturamento 15 dias after NF, needs Proposta Comercial",https://www.loggi.com/enviar-pacotes/para-voce/termos-e-condicoes/,2026-09-19,FALSE,"Pre-paid PF or PJ can ship without a contract. ICMS-contributor PJ must ship with NF-e (DC-e forbidden). Ressarcimento cap R$1.000 pre-paid. Per package, not pallet."
carrier,Correios,,,,,0,0,YES,Correios (SEDEX/PAC/Mini Envios),,,https://www.correios.com.br/enviar/encomendas/saiba-mais-nacional,2026-09-19,FALSE,"'Pessoas físicas e jurídicas, com ou sem contrato'. Coleta only with contract. Package max: longest side 100 cm, sum of sides 200 cm - a 17-item kit box with a 20 L bathtub is at or over this limit."
carrier,Jadlog,,,,,,,YES,Jadlog (.com <=30 kg; Package; Rodo <=50 kg; Cargo aéreo B2B; Rodo Econômico fracionado B2B),,,https://www.jadlog.com.br/jadlog/servicos,2026-09-19,FALSE,"No counter rate published; the only path is a form requiring CNPJ and 'nossa equipe comercial entrará em contato' - i.e. contract. Confirms the brief's premise."
blocked,Lotus Logística,,SP,,,,,,,,,https://lotuslogistica.com/logistica-promocional/montagem-de-kits-promocionais/,2026-09-19,FALSE,"BLOCKED: 'Recv failure: Connection reset by peer' x6 over two attempts with backoff; WebFetch 503. Search snippet says São Bernardo do Campo; nothing read first-hand."
blocked,MPP Log (Promopack),,,,,,,,,,,https://www.mpplog.com.br/promopack/,2026-09-19,FALSE,"BLOCKED: proxy 'CONNECT tunnel failed, response 502' x6; DNS ENOTFOUND via WebFetch."
blocked,DHL Fulfillment Network (pricing page),,,,,,,,,,,https://www.dhl.com/br-pt/microsites/supply-chain/fulfillment-network/pricing.html,2026-09-19,FALSE,"BLOCKED: HTTP/2 INTERNAL_ERROR x3 and 503 via WebFetch. Search snippet claims 'você só paga pelo que usa'; not read first-hand."
blocked,Frenet,,,,,,,,,,,https://www.frenet.com.br/,2026-09-19,FALSE,"BLOCKED: HTTP 403 (110-byte body) on homepage and help centre."
