categoria,fornecedor,razao_social,cnpj,uf,cidade,servico,base_preco,qtd_referencia,preco_brl,taxa_setup_brl,minimo,prazo_dias,fornece_o_produto,url,verificado_em,is_inference,notas
vinil_adesivo,DERIVADO - custo do vinil por kit,CALCULO SOBRE PRECOS PUBLICADOS,,,,Impressao dos 3 adesivos da banheira (SEM aplicacao),m2 x area do edital,5000 kits = 15.000 adesivos = 116 m2,1.86,NENHUMA PUBLICADA,,3 a 4,,https://www.segundaviagrafica.com.br/produtos/adesivos-em-vinil-pequenos-formatos/,2026-09-21,TRUE,"DERIVADO. Mesmo R$80/m2: o fornecedor NAO publica nenhum degrau acima de 500 unidades. Tratar R$1,86/kit como TETO do preco de tabela a 5.000 - um pedido de 116 m2 quase certamente sai mais barato sob cotacao, mas isso nao esta publicado. Comparador SP (Uniartes corte especial R$120/m2) daria R$2,78/kit em qualquer quantidade."
vinil_adesivo,DERIVADO - comparador SP,CALCULO SOBRE PRECOS PUBLICADOS,,SP,Sao Paulo,Impressao dos 3 adesivos da banheira via Uniartes corte especial,m2 x area do edital,qualquer,2.78,NENHUMA PUBLICADA,R$40.00,7,,https://www.uniartes.com.br/produto/adesivo-transparente-vinil-pvc-0-10mm-brilho-corte-reto-4x0-qualidade-fotografica,2026-09-21,TRUE,"DERIVADO. 0,0232 m2 x R$120/m2 = R$2,78/kit. E a opcao SP conforme a especificacao. Diferenca para o RJ (R$1,86) e R$0,92/kit = 33% - acima do limiar de ~6 pontos do ICMS, mas em valor absoluto sao R$4.600 em 5.000 kits e adesivos sao carga leve, logo o frete nao apaga a diferenca. Decisao real depende do credito de ICMS, nao deste numero."
silk_bolsa,WG Embalagens,WENDEL PERCU GUERRA,38295329000108,RJ,Rio de Janeiro,PERSONALIZACAO GRAVACAO DA LOGO EM SILK SCREEN - ATE 100PC,lote fechado ate 100 pecas,100 pecas,45.00,NAO DISCRIMINADA (aparentemente embutida),UNVERIFIED,7 a 10,SIM - produtos WG (estojos bolsas cartelas bandejas maletas),https://www.embalagenswg.com.br/product-page/personaliza%C3%A7%C3%A3o-grava%C3%A7%C3%A3o-da-logo-em-silk-screen-at%C3%A9-100p%C3%A7,2026-09-21,FALSE,"O UNICO PRECO DE SILK SCREEN PUBLICADO COMO LINHA DE SERVICO COMPRAVEL EM TODA A VARREDURA. R$45,00 por ate 100 pecas = R$0,45/peca, UMA cor, UMA posicao. Cores disponiveis: Dourado, Preto, Prata e Branco - uma cor por pedido, o que ja reprova os logos institucionais em policromia do edital. Nenhum degrau publicado acima de 100 pecas. Aplica-se a produtos da propria WG; personalizacao de material do cliente nao e afirmada. NAO-SP."
silk_bolsa,Brindes SP,BRINDES SP CONFECCOES E COMERCIO DE BOLSAS E BRINDES LTDA,46033832000105,SP,Sao Paulo,Mochila personalizada em silk screen (ref. M051),UNVERIFIED,UNVERIFIED,,UNVERIFIED,50 unidades,20,SIM - se declara fabricante,https://www.brindessp.com.br/mochilas-personalizadas/mochila-personalizada-em-silk-screen/,2026-09-21,FALSE,"LEAD JA CONHECIDO - reconfirmado, continua SEM PRECO PUBLICADO em 2026-09-21. Novo neste ciclo: o site publica prazo de 20 DIAS UTEIS e minimo de 30-50 unidades conforme a linha. 20 dias uteis e cerca de 28 dias corridos - MAIOR QUE O PRAZO DE 20 DIAS CORRIDOS DO EDITAL DE ITAQUAQUECETUBA. Se declara fabricante: imprime o que vende, nao o que voce manda. UF confirmada: Sao Paulo/SP, Micro Empresa, Ativa."
silk_bolsa,Iniciativa Brindes,INICIATIVA BRINDES LTDA,18632187000101,SP,Taboao da Serra,Gravacao silk screen - ate 4 cores,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.iniciativabrindes.com.br/gravacao-silk-screen,2026-09-21,FALSE,"Pagina dedicada a gravacao silk screen e mesmo assim nao publica preco. Unico dado tecnico publicado: 'Quantidade de cores: Ate 4 cores'. Util so para confirmar que 4 cores e o teto pratico do silk no setor de brindes - o edital pede logos institucionais em policromia, o que fica no limite. UF confirmada: Taboao da Serra/SP."
silk_bolsa,Silk Gra Comercial Brindes,SILK GRA COMERCIAL BRINDES LTDA,07110219000192,SP,Sao Bernardo do Campo,Bolsas e mochilas com silk screen,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.silkgra.com.br/bolsas-e-mochilas,2026-09-21,FALSE,"Sem preco, sem minimo, sem prazo, sem politica de material do cliente. Catalogo so com fotos e nomes. ARMADILHA DE UF EVITADA: o site diz 'Grande Sao Paulo'; o CNPJ resolve para Sao Bernardo do Campo/SP - continua SP, mas a cidade do site estava errada."
silk_bolsa,Redd Brindes,UNVERIFIED - CNPJ nao publicado,,SP,Sao Paulo,Serigrafia (silk screen) tampografia laser digital sublimacao bordado,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.redd.com.br/servicos-de-gravacao,2026-09-21,FALSE,"Pagina inteira dedicada a 'Servicos de Gravacao' com seis tecnicas descritas e ZERO precos. Exemplo puro da forma do mercado. Endereco publicado R. Jaguarete 43, Casa Verde, Sao Paulo-SP; CNPJ nao publicado, entao a UF permanece nao resolvida pelo metodo do CNPJ - tratada como SP apenas por endereco declarado."
silk_bolsa,Laser Company SP,UNVERIFIED - CNPJ nao publicado,,SP,Guarulhos,Silk screen personalizado (cores solidas policromia silk simulado silk digital),UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.lasercompanysp.com.br/silk-screen-personalizado,2026-09-21,FALSE,"Sem preco. Publica as modalidades tecnicas incluindo 'separacao policromia' - a unica pagina da varredura que descreve policromia em silk, que e o que os logos institucionais exigem. Nao diz se aceita material do cliente. Endereco publicado Guarulhos-SP; CNPJ nao publicado, UF nao resolvida por CNPJ."
silk_bolsa,Top Laser,NAMASTE SERVICOS LTDA (razao social publicada no site; CNPJ nao),,SP,Sao Paulo,Impressao silk screen,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,5,UNVERIFIED,https://toplaser.com.br/impressao-silk/,2026-09-21,FALSE,"Sem preco. Publica 'Impressao em Ate 5 Dias' - o prazo mais curto encontrado para silk, relevante porque os prazos municipais aqui sao de 5 a 20 dias. Tratar como alegacao de marketing ate cotacao. CNPJ nao publicado, UF nao resolvida por CNPJ."
silk_bolsa,Stampinny,UNVERIFIED - CNPJ nao publicado,,UNVERIFIED,UNVERIFIED,Servico de silk screen,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.stampinny.com.br/servico-silk-screen-preco,2026-09-21,FALSE,"URL termina em '-preco' e a pagina NAO TEM PRECO NENHUM. So formulario e botao de WhatsApp. Sem CNPJ, sem cidade, sem UF - nao da para afirmar SP. Exemplo do padrao de SEO 'preco' sem preco que domina esta industria."
silk_bolsa,Toca do Silk,UNVERIFIED,,UNVERIFIED,UNVERIFIED,Gravacao de tela serigrafica (matriz/tela - a taxa de setup),UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,NAO - so grava a tela,https://www.tocadosilk.com.br/gravacao-de-tela-serigrafia,2026-09-21,FALSE,"BLOQUEADO - HTTP 403 ao fetcher e tambem a leitura direta com user-agent de navegador. Registrado como bloqueado, nao contornado. Era a fonte mais promissora para o valor da MATRIZ/TELA (a taxa de setup do silk), que continua nao observada em nenhum fornecedor."
silk_bolsa,camisetasem12h (BLOG - NAO E FORNECEDOR),FONTE SECUNDARIA,,UNVERIFIED,UNVERIFIED,Estrutura de custo do silk screen (matriz por cor),matriz por cor,n/a,,80.00 a 150.00,UNVERIFIED,UNVERIFIED,n/a,https://camisetasem12h.com.br/camisetas-silk-screen-guia-rapido-personalizacao-profissional/,2026-09-21,FALSE,"NAO E COTACAO DE FORNECEDOR - e um artigo de blog. Publica a estrutura de custo verbatim: R$80 a R$150 por cor (matriz) + R$2 a R$5 de tinta/insumo por unidade + R$8 a R$15 de mao de obra por unidade. Os valores por unidade sao para CAMISETAS e incluem a peca - NAO transferiveis para impressao em bolsa. So o numero da MATRIZ (R$80-150 por cor, cobrado uma vez) e util, e mesmo assim como ordem de grandeza. Confirma que o setup e por COR, nao por posicao nem por pedido."
bolsa_personalizada_pronta,Idaplast (IDAP Industria e Brindes),IDAPLAST-INDUSTRIA E COMERCIO LTDA,58668393000196,SP,Hortolandia,Bolsa maternidade personalizada BS 4968 - nylon - silk screen 1 2 3 ou 4 cores bordado impressao digital etiqueta c/ gravacao,UNVERIFIED,UNVERIFIED,,UNVERIFIED,"'Pedido minimo por modelo e layout' - quantidade nao publicada",UNVERIFIED,SIM - fabricante desde 1989 CNAE 1521100 fabricacao de bolsas,https://idaplast.com.br/fabrica-bolsas-personalizadas/bolsas-maternidade-personalizadas/bolsa-maternidade-personalizada,2026-09-21,FALSE,"MELHOR CANDIDATO SP PARA A LINHA MOCHILA E MESMO ASSIM SEM PRECO. CNAE 1521100 = fabricacao de artigos para viagem e bolsas: e fabrica de verdade, nao revenda. Publica a escada de cores do silk (1, 2, 3 ou 4 cores) - confirma que o preco escala por cor. Medidas do modelo de catalogo 38x33x16 cm; o edital exige MINIMO 42x34x18 cm, logo nem o catalogo serve - a peca do edital e sob medida. UF confirmada: Hortolandia/SP, EPP, Ativa."
bolsa_personalizada_pronta,Caico Brindes,CAICO BRINDES E SERVICOS LTDA,59450354000180,RN,Caico,Bolsa em Algodao Cru com 1 Cor em Silk Screen (preco da peca JA COM gravacao),unidade,50 unidades ou mais,4.75,INCLUSA NO PRECO,50 unidades,30,SIM,https://www.caicobrindes.net.br/,2026-09-21,FALSE,"RARIDADE: publica preco unitario COM o silk de 1 cor incluido. Mostra a convencao dominante do setor - o preco de catalogo ja embute UMA cor em UMA posicao, e cor/posicao extra e que geram custo nao publicado. Produto NAO COMPARAVEL ao edital (algodao cru vs PVC efeito bufalo). Prazo publicado de 30 dias EXCEDE os 20 dias do edital de Itaquaquecetuba. NAO-SP (RN) - flag ICMS."
bolsa_personalizada_pronta,Caico Brindes,CAICO BRINDES E SERVICOS LTDA,59450354000180,RN,Caico,Mochila Bi Lateral com silk screen 1 cor,unidade,50 unidades ou mais,4.58,INCLUSA NO PRECO,50 unidades,30,SIM,https://www.caicobrindes.net.br/,2026-09-21,FALSE,"Segundo ponto da mesma tabela publicada. Terceiro: Bolsa Ecobag Oxford R$4,76/un a partir de 25 un com impressao digital colorida. Faixa muito abaixo do edital porque sao sacolas leves - servem como piso absoluto do mercado de bolsa impressa, nao como comparador. NAO-SP."
bolsa_personalizada_pronta,Zen Brindes (plataforma brindes.com),DAXX MIDIA LTDA,11775820000171,SP,Sao Paulo,Mochila personalizada - baixo relevo laser silkscreen sublimacao/transfer tag - ate 5 cores,faixa de preco,100 unidades (minimo),10.00 a 500.00,UNVERIFIED,100 unidades,15,SIM,https://brindes.com/personalizados/mochilas-personalizadas-zen-brindes/44551,2026-09-21,FALSE,"FAIXA DE 50x - INUTIL PARA ORCAR mas util pela frase publicada verbatim: 'O valor do produto varia de acordo com a quantidade, cores de gravacao e tipo de gravacao'. Confirma os tres eixos de preco do setor: quantidade, NUMERO DE CORES e TECNICA - nao o numero de posicoes. Publica ate 5 cores e prazo de 15 dias. UF confirmada: Sao Paulo/SP, EPP."
bolsa_personalizada_pronta,Brindes Design,UNVERIFIED - CNPJ nao publicado,,RJ,Rio de Janeiro,Sacola/bolsa com gravacao em SILK (preco ja com gravacao),unidade,500 unidades,34.00 a 45.00,UNVERIFIED,500 unidades,UNVERIFIED,SIM,https://www.brindesdesign.com.br/brindes/mochilas-e-necessaires/sacola-personalizada/,2026-09-21,FALSE,"Precos publicados verbatim na faixa de 500 pecas: Sacola Ecobag R$34,00/pc; Bolsa Totebag Ecothermos R$38,00/pc; Sacola Cotton R$45,00/pc - todos 'com gravacao em SILK'. E a faixa de preco mais proxima do patamar do edital (R$52,27 lisa / R$98,51 estimada), mas sao sacolas de algodao/TNT, nao mochila PVC estruturada. Numero de cores e posicoes nao publicado. NAO-SP."
bolsa_personalizada_pronta,Luminati Brindes,ORIGINAIS DISTRIBUIDORA DE BRINDES LTDA,29065741000132,ES,Serra,Bolsas personalizadas com aplicacao de logo,UNVERIFIED,500 pecas (base declarada),,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.luminatibrindes.com.br/brindes/bolsas-personalizadas/,2026-09-21,FALSE,"Sem precos, so codigos de produto. Publica a nota de base de preco verbatim: 'Valor referente a 500 pecas, com aplicacao de logo em 1 cor' - terceira confirmacao independente da convencao 500 pecas / 1 cor. ARMADILHA DE UF: o site lista Rio de Janeiro, SAO PAULO, Curitiba e Porto Alegre como suas cidades; o CNPJ resolve para SERRA/ES. A alegacao de Sao Paulo do site nao se sustentou - e ES. Flag ICMS."
bolsa_personalizada_pronta,JC Confeccoes Promocionais,UNVERIFIED - CNPJ nao publicado,,SP,Sao Paulo,Bolsa maternidade atacado - mochilas promocionais,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.jcpromocionais.com.br/mochilas-promocionais/bolsa-maternidade-atacado,2026-09-21,FALSE,"Vende exatamente a categoria certa (bolsa maternidade atacado) e nao publica nada. Publica verbatim 'Trabalhamos apenas com atacado para CNPJ!' - sem barreira de porte, o que serve a uma ME/EPP. Endereco Rua dos Manacas 461, Jardim dos Eucaliptos, Sao Paulo-SP. CNPJ nao publicado: UF nao resolvida por CNPJ."
bolsa_personalizada_pronta,Bolsavel,UNVERIFIED - CNPJ nao publicado,,SP,Americana,Mochilas e bolsas personalizadas - preco de fabrica,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM - se declara fabrica,https://bolsavel.com.br/fornecedor-mochilas-personalizadas,2026-09-21,FALSE,"Fabricante de bolsas em Americana/SP ha mais de 20 anos, se declara com 'precos de fabrica' e distribuicao nacional - e nao publica nenhum. Candidato SP para cotacao. CNPJ nao publicado: UF nao resolvida por CNPJ, apenas declarada."
aplicacao,Alo Sara Manuseios,UNVERIFIED - CNPJ nao publicado,,SP,Taboao da Serra,APLICACAO DE VINIL + etiquetagem + aplicacao de fita dupla face + montagem de kits promocionais,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,NAO - servico sobre material do cliente,https://www.sarasg.com.br/,2026-09-21,FALSE,"ACHADO MAIS IMPORTANTE DESTA CATEGORIA e NAO ESTAVA nos 24 fornecedores de data/copacking.md - e o 25o. Lista APLICACAO DE VINIL explicitamente como servico, ao lado de etiquetagem e montagem de kits promocionais, com mais de 35 anos de operacao. E a unica empresa da varredura inteira que publica a aplicacao como servico nomeado. PRECO: NENHUM. Sem CNPJ publicado - UF nao resolvida por CNPJ, so por endereco (Rua Elza Feres 165, Vila Sonia do Taboao, Taboao da Serra SP). Alvo numero 1 de cotacao da fundadora."
aplicacao,Raotech,UNVERIFIED - CNPJ nao publicado,,SP,Diadema,Rotulagem adesiva + rotulagem termoencolhivel (sleeve) + blistagem + montagem de kits,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,NAO - servico sobre material do cliente,https://www.raotech.com.br/terceirizacao-de-rotulagem,2026-09-21,FALSE,"Faz rotulagem adesiva terceirizada E montagem de kits na mesma casa - combinacao rara e diretamente util. MAS o portfolio publicado e de embalagens cilindricas e planas (frascos, potes, bisnagas, blister); uma banheira de 22 L em polipropileno com superficie curva nao esta na lista e a aplicacao teria de ser manual. Sem preco, sem minimo, sem prazo. CNPJ nao publicado."
aplicacao,Silk Mac,UNVERIFIED - CNPJ nao publicado,,UNVERIFIED,UNVERIFIED,Terceirizacao de rotulagem,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,NAO - servico sobre material do cliente,http://silkmac.com.br/terceirizacao.html,2026-09-21,FALSE,"Fabricante de rotuladoras automaticas ha 25+ anos que passou a oferecer o servico. Rotulagem automatizada pressupoe geometria regular e alto volume - improvavel para 3 adesivos recortados em posicoes diferentes de uma banheira. Sem preco. Sem CNPJ, sem cidade, sem UF publicados: NAO E POSSIVEL AFIRMAR SP."
copacker_personalizacao,Nascra Brindes,NASCRA SOLUCOES EM PERSONALIZACAO LTDA,27332194000189,SP,Sao Paulo,Kits promocionais - razao social e de personalizacao mas o servico publicado e de kits,unidade (faixa ilustrativa),100 a 500 pecas,50.00 a 200.00,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.nascra.com.br/site/kits-promocionais-preco,2026-09-21,FALSE,"NAO USAR COMO PRECO. Dois motivos. (1) A propria pagina publica a ressalva de que os valores sao ILUSTRATIVOS e podem nao refletir o preco atual. (2) A faixa R$50-200/unidade e do KIT INTEIRO COM AS MERCADORIAS DENTRO, nao do servico de personalizacao. Alem disso a situacao cadastral confirmada em publica.cnpj.ws e SUSPENSA - ja registrado assim em data/copacking.md. Unica das 24 copackers cuja razao social diz 'personalizacao' e ainda assim nao publica preco de personalizacao."
copacker_personalizacao,24 copackers SP de data/copacking.md,VARIOS - ver data/cost_copacking.csv,,SP,varias,Montagem de kits - VERIFICACAO CRUZADA DE PERSONALIZACAO,n/a,n/a,,n/a,n/a,n/a,NAO,https://www.upmanuseios.com.br/,2026-09-21,FALSE,"RESULTADO NEGATIVO REGISTRADO COMO RESULTADO. Reexaminados os 24 fornecedores ja levantados: NENHUM publica silk screen, serigrafia, impressao ou aplicacao de adesivo como servico. A unica ocorrencia proxima em todo o arquivo e a Envio Certo com 'montagem personalizada', que significa montagem sob especificacao do cliente e NAO personalizacao grafica. Conclusao: a linha de aplicacao de adesivo NAO esta coberta pelos copackers ja pesquisados e precisa de um fornecedor novo (ver Alo Sara) ou de mao de obra propria."
